"User Name","Avatar","Country","Room Info","Stay Date","Traveller Type","Review Title","Rating","Happy Review","Unhappy Review","Review Date","Scraped At"
"John","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Group

","
Quite good overall
"," 8.0 ","Breakfast was ok","I suspect scrambled eggs were powdered, bacon was hardly cooked.","
Reviewed: 25 September 2023
","2024-05-01T11:31:19.285Z"
"Hamish","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                Portugal","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Very good
"," 8.0 ","Super efficient and friendly staff. Clean and spacious hotel. Perfect for an early morning flight.","","
Reviewed: 23 September 2023
","2024-05-01T11:31:19.285Z"
"Julie","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Excellent location
"," 9.0 ","It’s location on Bristol Airports site is so convenient
Nice size room, slept extremely well
Very clean and comfortable, staff lovely","The evening meal quality was very poor, Shame it let the hotel down","
Reviewed: 23 September 2023
","2024-05-01T11:31:19.285Z"
"Judy","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                New Zealand","






Queen Room - Mobility Access


","




1 night · 

September 2023


","




Couple

","
Overall very good
"," 8.0 ","Convenient generally very happy","","
Reviewed: 22 September 2023
","2024-05-01T11:31:29.703Z"
"Gary","https://graph.facebook.com/v2.9/1846185575399827/picture?type=square&height=64&width=64","
                                    
                                United States","






Queen Room


","




1 night · 

September 2023


","




Couple

","
We’ll stay there again if the need comes up
"," 7.0 ","Great location","Midnight fire alarm wasn’t on our agenda. Not property fault.","
Reviewed: 21 September 2023
","2024-05-01T11:31:29.703Z"
"Norma","https://graph.facebook.com/v2.9/839101019593729/picture?type=square&height=64&width=64","
                                    
                                Canada","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Very good
"," 8.0 ","Close to airport","","
Reviewed: 21 September 2023
","2024-05-01T11:31:29.703Z"
"Grahame","https://cf.bstatic.com/static/img/review/avatars/ava-g/d2bf46fbe4c12e06481303d85f49f125e18fbd39.png","
                                    
                                Spain","






Queen Room - Mobility Access


","




1 night · 

September 2023


","




Family

","
Very good
"," 8.0 ","Enjoyed my stay apart from being woken by  fire alarm at 12pm","Fire alarm going off after being asleep for 2 hours. Didn't seem very organised.. Room no wasn't  taken
How did they know every body was out of building?","
Reviewed: 20 September 2023
","2024-05-01T11:31:29.703Z"
"Elizabeth","https://cf.bstatic.com/static/img/review/avatars/ava-e/8d80ab6bf73fa873e990c76bfc96a1bf23708307.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Lovely staff
"," 9.0 ","Friendly, helpful staff.","Some snacks in the room would be appreciated.","
Reviewed: 19 September 2023
","2024-05-01T11:31:29.703Z"
"Michael","https://cf.bstatic.com/static/img/review/avatars/ava-m/0e43c9b9a23d334b52510a328641c048847226bc.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Very good
"," 8.0 ","Location is key","Price","
Reviewed: 19 September 2023
","2024-05-01T11:31:29.703Z"
"Graham","https://cf.bstatic.com/static/img/review/avatars/ava-g/d2bf46fbe4c12e06481303d85f49f125e18fbd39.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Good
"," 7.0 ","Convenience to airport","Better restaurant experience - menu was a bit basic","
Reviewed: 19 September 2023
","2024-05-01T11:31:29.703Z"
"Peter","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Convenient
"," 8.0 ","The location was perfect and the very early morning breakfast was very convenient for early morning flights.","It was disappointing that the free Wi-Fi did NOT have an internet connection, also that one of the bedside cabinets was broken. Not what I expected from a Hampton by Hilton hotel !","
Reviewed: 19 September 2023
","2024-05-01T11:31:29.703Z"
"David","https://lh3.googleusercontent.com/a/ALm5wu26HNjprVFAP9HMJ6OOr8KZoJiBr_KZZ31aVl8R=s96-c","
                                    
                                Guernsey","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Very enjoyable, lovely breakfast
"," 9.0 ","Very clean & modern","Didn’t expect to walk quite so far from the airport at 1oclock in the morning, but of cause road works need to be done.","
Reviewed: 18 September 2023
","2024-05-01T11:31:29.703Z"
"Frederic","https://cf.bstatic.com/static/img/review/avatars/ava-f/8ecb6dbf787bac20deb3945d9c8a8b1c94cc5e64.png","
                                    
                                Guadeloupe","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Superb
"," 9.0 ","","A/c too cold at the restaurant","
Reviewed: 18 September 2023
","2024-05-01T11:31:29.703Z"
"Bethan","https://cf.bstatic.com/static/img/review/avatars/ava-b/8103dfb0481c4cedc201d849f5666a270512f538.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Family

","
Great start to the holiday.
"," 8.0 ","Great location and early breakfast.","","
Reviewed: 18 September 2023
","2024-05-01T11:31:38.724Z"
"Hugh","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Solo traveller

","
Great, smart, clean, handy hotel with friendly and professional staff! Good all round!
"," 8.0 ","The location is excellent for the airport, it could hardly be easier. The transport options to the airport all worked well without the pressure of an early start in the day if travel.","Nothing springs to mind!","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Robert","https://lh3.googleusercontent.com/a-/AD5-WClSw9bfoZ-CFZEFDMvksN1mwaLCKOJw_MQ7zr9N=s96-c","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

September 2023


","




Family

","
Good place to stay before a morning flight from Bristol
"," 7.0 ","Large airy bar and restaurant area.","Nothing to add","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Richard","https://lh5.googleusercontent.com/-6CEGhnSz6Uc/AAAAAAAAAAI/AAAAAAAAAAA/ANQ0kf539NfKaKTj5aVnve9FYZSQh2aG5w/s96-c/photo.jpg","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

September 2023


","




Couple

","
Ideal location and easy to reach from the airport, was somewhat expensive due presumably to this
"," 8.0 ","Location ease of booking in and cleanliness of the hotel","The shower room had a major issue with the run off to the drain and flooded the bathroom and entrance way to the bedroom area
I informed the staff but the problem is obviously due to poor design","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Ed","https://cf.bstatic.com/static/img/review/avatars/ava-e/8d80ab6bf73fa873e990c76bfc96a1bf23708307.png","
                                    
                                Hungary","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Perfect place to stay after a late arrival
"," 8.0 ","Very close to arrivals. Bar open late.","I think signage via the route to buses is a waste of time for arriving passengers. Survey better to direct left outside arrivals.","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Christine","https://cf.bstatic.com/static/img/review/avatars/ava-c/315f92289c481a16de5ee7737aa1b5fd531afcce.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Good
"," 7.0 ","Have used the hotel since built. Perfect for the airport.","The price has virtually doubled. £180 for just one night, booked well in advance is a lot.","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Julian","https://graph.facebook.com/v2.9/10155321678164118/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Great staff, lovely room. Good bed. Good choice for breakfast.
"," 8.0 ","Location. Close to the airport","The walk from the airport is a bit of a bomb site","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Ruth","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                Ireland","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Lovely stay
"," 9.0 ","Clean & comfortable. Room was spacious. Good breakfast options. A short walk to the airport, very convenient. Buses to/from Bristol & Bath regularly a short walk from the hotel.","N/A","
Reviewed: 17 September 2023
","2024-05-01T11:31:38.724Z"
"Fiona","https://cf.bstatic.com/static/img/review/avatars/ava-f/8ecb6dbf787bac20deb3945d9c8a8b1c94cc5e64.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Great location if you want to take the stress out of an early flight
"," 8.0 ","Location on the airport site as we had an early flight. Staff were friendly and helpful.","","
Reviewed: 16 September 2023
","2024-05-01T11:31:38.724Z"
"Vinny","https://lh4.googleusercontent.com/-2ut7REPBdCM/AAAAAAAAAAI/AAAAAAAAAUE/2sARaUeqSh0/photo.jpg","
                                    
                                Ireland","






Queen Room


","




1 night · 

September 2023


","




Family

","
Good
"," 7.0 ","Lovely big room, comfortable bed","No drinking water in the room 
Breakfast was very poor, cold plates,bacon and sausage looked boiled ,didn't even bother.","
Reviewed: 16 September 2023
","2024-05-01T11:31:38.724Z"
"Roland","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                New Zealand","






Queen Room


","




1 night · 

September 2023


","




Couple

","
OK
"," 8.0 ","Reception very helpful for our late at night arrival","Windows completely sealed.  we wanted some fresh air","
Reviewed: 15 September 2023
","2024-05-01T11:31:49.918Z"
"Grant","https://graph.facebook.com/v2.9/1148922165130095/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Comfortable stay in good location with everything I needed.
"," 9.0 ","Having a decent gym with working equipment in good condition was really good. Meal options were fine. Bar comfortable.","Male staff member on reception was a bit short with me when I asked about a receipt. He explained I would get it after I checked out as if I should know, I paid a lot of money the day before and needed to claim it back from my employer so it was important to me. I just needed a pleasant explanation.","
Reviewed: 14 September 2023
","2024-05-01T11:31:49.918Z"
"Thibault","https://cf.bstatic.com/static/img/review/avatars/ava-t/7eb52a437de4a380f7666d4a62da6e64294cd321.png","
                                    
                                Germany","






Queen Room - Mobility Access


","




1 night · 

June 2023


","




Solo traveller

","
The only way to stay near the airport
"," 8.0 ","+ Location
+ Quality","- Price, is way overpriced","
Reviewed: 13 September 2023
","2024-05-01T11:31:49.918Z"
"Becky","https://cf.bstatic.com/static/img/review/avatars/ava-b/8103dfb0481c4cedc201d849f5666a270512f538.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Family

","
Good
"," 7.0 ","The staff were friendly and helpful. I could share a room with my two daughters, making it more affordable. The room was ideal - clean, well designed and just what we needed. Food was pretty good and amazingly, breakfast was available from 4am so early flights don't have to mean missing breakfast! So super convenient for Bristol Airport - great to be able to walk from the carpark to the hotel and from the hotel to the airport.","No complaints - exactly what we needed.","
Reviewed: 12 September 2023
","2024-05-01T11:31:49.918Z"
"Yoland","https://lh5.googleusercontent.com/-eu7HRfrwCx4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rc9ks0UssjAmR387kgw1biFMtVQtg/s96-c/photo.jpg","
                                    
                                Australia","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Very good
"," 8.0 ","Perfect for what we needed before an early flight. Breakfast service starts early enough for those needing to leave early. 
Simple but tasty dinner choices.","","
Reviewed: 12 September 2023
","2024-05-01T11:31:49.918Z"
"Helen","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

September 2023


","




Group

","
We would stay again but hope for more pillows.
"," 8.0 ","Friendly helpful staff. 
Good size room","Lack of pillows!!","
Reviewed: 11 September 2023
","2024-05-01T11:31:49.918Z"
"Andrew","https://lh5.googleusercontent.com/-UYUtn7MSSg0/AAAAAAAAAAI/AAAAAAAADqA/A6RDXQwX0aw/s96-c/photo.jpg","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Family

","
Lovely rooms, great staff, need deep pockets
"," 9.0 ","Location was great, apart from the surrounding civil works to improve access, which was difficult to navigate amongst bus queues and barriers.
Room was lovely, shame we only spent 4.5 hours in it due to our late arrival, Room not ready due to demand, and a very early departure.
Clean and pleasant bar area, staff lovely. Overall pleased with the hotel.","Breakfast was basic at the early time we needed to leave for our departure, and there was too little food on display, with no staff around to replenish the food items, mostly run out of choice. For the overnight stay cost, including breakfast, we were very disappointed, and hungry during our day of travel. This was a letdown for us, especially paying £230 for a single night, we expected a better Breakfast experience, and not need to spend more money on food during our travels.
Also, drinks in the bar were very expensive, seems a captive audience are charged way over the normal going rate.","
Reviewed: 11 September 2023
","2024-05-01T11:31:49.918Z"
"Neil","https://cf.bstatic.com/static/img/review/avatars/ava-n/d3882ab9674d57559f4b0ecc7f2b01ecbc7a8057.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

September 2023


","




Family

","
Superb
"," 9.0 ","Location.","Cost.","
Reviewed: 11 September 2023
","2024-05-01T11:31:49.918Z"
"Diane","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Solo traveller

","
Quite a lot of money for a large modern clean soulless room at convenient place for flight
"," 8.0 ","The breakfast was it's redeemable feature. I had croissants and fruit and yogurt and coffee. The breakfast was really good quality . Very pleased with the breakfast. It felt more homely and family orientated for the breakfast. A bit more heart and soul. Liked the decor and the happy slogans.","It was a bit of a shock that you queued up to place an order for food. As my friend said an expensive MacDonalds.  Coincidentally I ended up ordering the burger bun and chips. I felt starving hungry and needed something to fill me up. 
The burger was really good. So it worked 😁. 
Next time I would know what to expect. Might try another food option. Like the noodles for example. Just was expecting a sit down restaurant with table service like other airport hotels. I thought maybe they had trouble getting staff. The receptionist said there was no proper kitchen on site. Did not really like the atmosphere of the evening dining. Lovely chairs dining area but felt soulless in the evening. The company could have a better chance here to win hearts and minds.","
Reviewed: 11 September 2023
","2024-05-01T11:31:49.918Z"
"Christine","https://cf.bstatic.com/static/img/review/avatars/ava-c/315f92289c481a16de5ee7737aa1b5fd531afcce.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

September 2023


","




Couple

","
Comfortable beds so well rested before a long day of travelling
"," 8.0 ","We had an early flight but the Continental breakfast had a good choice of items","Separating drinks only from the food ordering queue might have been more efficient","
Reviewed: 11 September 2023
","2024-05-01T11:31:49.918Z"
"Anne","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

September 2023


","




Couple

","
Convenient overnight stay for departure flight.
"," 7.0 ","Within easy walking distance of airport. Comfortable bed in quiet room with air conditioning. Good breakfast.","Evening meal was disappointing. The choice was limited so felt the meals on offer should have been of a higher standard. Curry has small amounts of chicken and no flavour.","
Reviewed: 10 September 2023
","2024-05-01T11:31:59.001Z"
"Linda","https://cf.bstatic.com/static/img/review/avatars/ava-l/c9a51000ce90cbf81dcc81b847f9bccc3330d3a4.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

August 2023


","




Family

","
Very good
"," 8.0 ","Beds","Quality of jacket potatoes in restaurant","
Reviewed: 10 September 2023
","2024-05-01T11:31:59.001Z"
"Mike","https://cf.bstatic.com/static/img/review/avatars/ava-m/0e43c9b9a23d334b52510a328641c048847226bc.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Convenient
"," 8.0 ","The location couldn't be better.
Enjoyed the curry","Building work outside had bad signing, we walked a few hundred yards to go just a few, it was confirmed at reception that a lot of customers had suffered the same, it would have been good if someone had sorted it out so that we could have got there a lot more directly.","
Reviewed: 10 September 2023
","2024-05-01T11:31:59.001Z"
"Paul","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Superb
"," 9.0 ","Location is superb. Breakfast was excellent","Could be a better walk way to get to the hotel from the airport","
Reviewed: 10 September 2023
","2024-05-01T11:31:59.001Z"
"Don","https://cf.bstatic.com/static/img/review/avatars/ava-d/bebbb1d5ff29328157080e4e2e5d15a29c5aa34a.png","
                                    
                                Canada","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Overall our stay was great - but brief as we checked in late afternoon & checked out early next day
"," 9.0 ","Nice, clean room, very quiet which was appreciated as we had an early flight on checkout day.  Staff were all helpful, courteous, and very good at what they do.  Delicious food in the restaurant.  And cold beer!","Nothing really.  Maybe the fact our Uber driver had to pay a fee - which was passed on to us - to drop us at the front entrance of the hotel.","
Reviewed: 9 September 2023
","2024-05-01T11:31:59.001Z"
"Kenneth","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

September 2023


","




Family

","
Good
"," 7.0 ","Quick check in,room had everything you need
Bathroom was good,with good shower and toiletries.
Great breakfast , good coffee and ample choice.","It's the airport,so we know we are going to pay extra for most things,but felt this was taken to extreme.
I stayed in a hotel at Heathrow,10 days previously,same company ,but half the price.
Also felt bar prices were expensive,pint and gin and tonic 21pounds.","
Reviewed: 8 September 2023
","2024-05-01T11:31:59.001Z"
"Stacey","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

September 2023


","




Family

","
Very good
"," 8.0 ","Nice welcome after a delayed flight","","
Reviewed: 8 September 2023
","2024-05-01T11:31:59.001Z"
"Heulwenn","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Family

","
Very good
"," 8.0 ","Easy check in and check out.","Some staff were non talkative. Some would also ask you stuff to make conversation and were then very uninterested or wouldn't listen. 
Took a while to clean up any tables in the evening","
Reviewed: 8 September 2023
","2024-05-01T11:31:59.001Z"
"Glyn","https://cf.bstatic.com/static/img/review/avatars/ava-g/d2bf46fbe4c12e06481303d85f49f125e18fbd39.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Latest stay
"," 9.0 ","Location facilities comfort","Nothing","
Reviewed: 7 September 2023
","2024-05-01T11:31:59.001Z"
"Sarah","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

September 2023


","




Family

","
Small room but clean and good breakfast.
"," 8.0 ","Great location. Tasty breakfast with a lot of variety. Clean room and nice toiletries in bathroom. Nice and quiet - couldn’t hear outside noise at all, or other guests.","Tiny room and small bed. For travellers arriving with a lot of luggage, as you would expect near an airport, there is next to no space for luggage. We had our daughter with us so the couch was made into a bed so no space in that part of the room for us to put anything. Pillows were very uncomfortable.","
Reviewed: 6 September 2023
","2024-05-01T11:31:59.001Z"
"Helen","https://cf.bstatic.com/static/img/review/avatars/ava-h/41b962c4f1fcefa6bb9c4a8bc7bfed064a71691b.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Family

","
Very good
"," 8.0 ","Location is excellent","Rooms are small for a family","
Reviewed: 6 September 2023
","2024-05-01T11:32:09.975Z"
"Kimberley","https://cf.bstatic.com/static/img/review/avatars/ava-k/c84a361d670170a23bc2e937798fc23520f61c43.png","
                                    
                                Ireland","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Good
"," 7.0 ","Breakfast was very good, so much variety.
Great location for early morning flights with only walking distance to airport","","
Reviewed: 6 September 2023
","2024-05-01T11:32:09.975Z"
"Francis","https://cf.bstatic.com/static/img/review/avatars/ava-f/8ecb6dbf787bac20deb3945d9c8a8b1c94cc5e64.png","
                                    
                                United Kingdom","






Queen Room - Mobility Access


","




1 night · 

September 2023


","




Couple

","
Good
"," 7.0 ","Friendly staff, excellent facilities just a shame I didn't have more time to use them. Very close to the airport so easy for early morning flight.","Not being able to sleep for as long.","
Reviewed: 6 September 2023
","2024-05-01T11:32:09.975Z"
"Christopher","https://cf.bstatic.com/static/img/review/avatars/ava-c/315f92289c481a16de5ee7737aa1b5fd531afcce.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Great overnight stop for Bristol Airport
"," 7.0 ","Perfect location for Bristol Airport","Nothing","
Reviewed: 6 September 2023
","2024-05-01T11:32:09.975Z"
"Sophie","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Couple

","
Good value for money
"," 7.0 ","The room was very beautiful & rustic Italian, it was good value for money & the lady running it sent me a video on how to unlock the door, where the iron was etc & met me in a local restaurant to give me the key","While it says private bathroom, this is separate from the room & there is a room in between. Which is fine but may be off putting for others as not clearly described","
Reviewed: 5 September 2023
","2024-05-01T11:32:09.975Z"
"Pauline","https://lh3.googleusercontent.com/-CMVwfOr44z0/AAAAAAAAAAI/AAAAAAAAJio/SxSQmtn57GA/s96-c/photo.jpg","
                                    
                                France","






Queen Room


","




1 night · 

September 2023


","




Couple

","
We had a very pleasant stay and the hotel is very convenient for the airport
"," 8.0 ","the room was large and very comfortable
The bed was very comfortable
The bathroom with a shower was very clean and spacious.","The bar area and area where you order food are combined so when its busy there is a queue.","
Reviewed: 5 September 2023
","2024-05-01T11:32:09.975Z"
"Debbie","https://lh3.googleusercontent.com/a-/AOh14GhmJ0FVGMWBKH1fyBy4ZFc3mmLs6Ti4vEt1e5QrwQ=s96-c","
                                    
                                Guernsey","






Queen Room with Sofa Bed


","




1 night · 

September 2023


","




Family

","
Short walk from hotel
"," 8.0 ","Close to airport","expensive for our few hours stay","
Reviewed: 5 September 2023
","2024-05-01T11:32:09.975Z"
"Raymond","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

September 2023


","




Family

","
Very good
"," 8.0 ","So conveniently located by the airport and rooms are very comfortable and quiet","","
Reviewed: 4 September 2023
","2024-05-01T11:32:09.975Z"
"Andrew","https://cf.bstatic.com/static/img/review/avatars/ava-a/2c7be68fb3f987f1352e7b289d4b24137e1a283d.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

September 2023


","




Couple

","
Practical but canteen restaurant
"," 8.0 ","Close to airport","Restaurant was basic for quality hotel","
Reviewed: 4 September 2023
","2024-05-01T11:32:09.975Z"
"Sara","https://lh6.googleusercontent.com/-FjnqtWGTLw4/AAAAAAAAAAI/AAAAAAAAAAA/Du2TSdTSofM/photo.jpg?sz=50","
                                    
                                Thailand","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Group

","
Convenient
"," 8.0 ","Conveniently located across from the terminal. Breakfast served from 4am. Kind staff.","A bit pricy for what it is. Could use a renovation.","
Reviewed: 3 September 2023
","2024-05-01T11:32:09.975Z"
"Jane","https://lh3.googleusercontent.com/a/AATXAJzOiCezUEgb4DGFstWlLpsufi_CnIbdVvBkvJl6=s96-c","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

August 2023


","




Couple

","
Very good
"," 8.0 ","Convenient for the airport","","
Reviewed: 3 September 2023
","2024-05-01T11:32:18.538Z"
"Susan","https://cf.bstatic.com/static/img/review/avatars/ava-s/d321d61d78a8fa310843e1967dca38e6276b92aa.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Solo traveller

","
So convenient for airport  I would come again.
"," 8.0 ","Distance to terminal.","Pricey gin and tonic.","
Reviewed: 3 September 2023
","2024-05-01T11:32:18.538Z"
"William","https://cf.bstatic.com/static/img/review/avatars/ava-w/743312ca303f4a4be7af10e6d1015d40a0ce81a4.png","
                                    
                                United Kingdom","






Twin Room


","




1 night · 

August 2023


","




Couple

","
Very pleasant stay
"," 8.0 ","Everything was satisfactory -no complaints -would stay again if flying from Bristol","","
Reviewed: 2 September 2023
","2024-05-01T11:32:18.538Z"
"Peter","https://cf.bstatic.com/static/img/review/avatars/ava-p/866dca38dcc31cb6fa2e9b4c475bd32e681b0080.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Location Location Location
"," 8.0 ","Location Location Location","Evening dinner portions at the restaurant were small","
Reviewed: 2 September 2023
","2024-05-01T11:32:18.538Z"
"Richard","https://cf.bstatic.com/static/img/review/avatars/ava-r/29d5c93ac6953138bfc6f214a4c5a0f8b712b57b.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Expensive
"," 7.0 ","Clean and modern","Food from restaurant small portions and very expensive","
Reviewed: 1 September 2023
","2024-05-01T11:32:18.538Z"
"Marina","https://cf.bstatic.com/static/img/review/avatars/ava-m/0e43c9b9a23d334b52510a328641c048847226bc.png","
                                    
                                United Kingdom","






Queen Room


","




2 nights · 

August 2023


","




Family

","
Very good
"," 8.0 ","","The car park charged me £192 for an overnight stay on my credit card and my debit card.  Not happy.","
Reviewed: 1 September 2023
","2024-05-01T11:32:18.538Z"
"Simon","https://lh3.googleusercontent.com/-OqXpsPbc9uM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNOrbACxKhY9z6Wk7873x4yjJ-ew/s96-c/photo.jpg","
                                    
                                South Africa","






Queen Room


","




1 night · 

August 2023


","




Family

","
Very good
"," 8.0 ","Very convenient to the airport and the rooms were very well insulated against noise ( such as aircraft movements) snd lights.","Our stay was too short","
Reviewed: 31 August 2023
","2024-05-01T11:32:18.538Z"
"Tracey","https://cf.bstatic.com/static/img/review/avatars/ava-t/7eb52a437de4a380f7666d4a62da6e64294cd321.png","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Family

","
Convenient, clean
"," 9.0 ","Location 
Clean
Staff excellence","N/a","
Reviewed: 31 August 2023
","2024-05-01T11:32:18.538Z"
"Jane","https://cf.bstatic.com/static/img/review/avatars/ava-j/f69a0f45af414641ac0371c1f139c49637969c6c.png","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Great place to stay for an early flight
"," 9.0 ","Location.  Comfy bed.  Good shower","N/a","
Reviewed: 31 August 2023
","2024-05-01T11:32:18.538Z"
"Jay","https://graph.facebook.com/v2.9/2207782409450579/picture?type=square&height=64&width=64","
                                    
                                United Kingdom","






Queen Room with Sofa Bed


","




1 night · 

August 2023


","




Family

","
Very nice
"," 9.0 ","","The pillows. You need to change them uncomfortable","
Reviewed: 31 August 2023
","2024-05-01T11:32:18.538Z"
"Walker","https://lh3.googleusercontent.com/a/AAcHTtcW21jU97hG6oqTMBjY4t2zWvQ8RzvH1WkoHAxzIRVS=s96-c","
                                    
                                United Kingdom","






Queen Room


","




1 night · 

August 2023


","




Couple

","
Very good
"," 9.0 ","Good","Everything was as expected","
Reviewed: 30 August 2023
","2024-05-01T11:32:29.061Z"
